11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Main_Progress_Get_By_IdCommand' by name 'Project_Main_Progress_Get_By_Id
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Role_Mapping_For_Employees_DeleteCommand' by name 'Project_Role_Mapping_For_Employees_Delete
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Role_Mapping_For_Employees_SaveCommand' by name 'Project_Role_Mapping_For_Employees_Save
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Save_Multiple_EmployeesCommand' by name 'Project_Save_Multiple_Employees
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_SaveCommand' by name 'Project_Save
11:04:44.389 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_SupervisionSection_Area_SaveCommand' by name 'Project_SupervisionSection_Area_Save
11:04:44.390 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_SupervisionSection_Document_DeleteCommand' by name 'Project_SupervisionSection_Document_Delete
11:04:44.390 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_SupervisionSection_Document_GetByIdCommand' by name 'Project_SupervisionSection_Document_GetById
11:04:44.390 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_SupervisionSection_Document_GetCommand' by name 'Project_SupervisionSection_Document_Get
11:04:44.390 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_SupervisionSection_Document_SaveCommand' by name 'Project_SupervisionSection_Document_Save
11:04:44.390 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_SupervisionSection_Document_Transfer_ByIdCommand' by name 'Project_SupervisionSection_Document_Transfer_ById
11:04:44.390 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_TechnicalSection_Document_DeleteCommand' by name 'Project_TechnicalSection_Document_Delete
11:04:44.390 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_TechnicalSection_Document_GetByIdCommand' by name 'Project_TechnicalSection_Document_GetById
11:04:44.391 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_TechnicalSection_Document_GetCommand' by name 'Project_TechnicalSection_Document_Get
11:04:44.391 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_TechnicalSection_Document_SaveCommand' by name 'Project_TechnicalSection_Document_Save
11:04:44.391 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_TechnicalSection_Document_Transfer_ByIdCommand' by name 'Project_TechnicalSection_Document_Transfer_ById
11:04:44.391 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Unit_Edit_By_IdCommand' by name 'Project_Unit_Edit_By_Id
11:04:44.391 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Unit_SaveCommand' by name 'Project_Unit_Save
11:04:44.391 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_Unit_Supervision_Section_Edit_By_IdCommand' by name 'Project_Unit_Supervision_Section_Edit_By_Id
11:04:44.392 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+Project_UpdateStatusCommand' by name 'Project_UpdateStatus
11:04:44.392 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+SendSMSCommand' by name 'SendSMS
11:04:44.392 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+STEPPER_SUB_SECTION_MENUCommand' by name 'STEPPER_SUB_SECTION_MENU
11:04:44.392 [6] INFO  Default - register 'INMA.Projects.Services.Project.ProjectCommand+UserManagement_Login_Role_UpdateCommand' by name 'UserManagement_Login_Role_Update
11:04:44.392 [6] INFO  Default - Ended: Project.Web.Services::Project.Web.Installer.Services Install
11:04:44.392 [6] INFO  Default - Ended: Install Directory D:\Workspace\INMA-Github\INMAHR\WebApp\bin
